Million Plus Cities,Cause category,Cause Subcategory,Outcome of Incident,Count
Hyderabad,Junction,T Junction,Greviously Injured,163.0
Hyderabad,Junction,T Junction,Minor Injury,63.0
Hyderabad,Junction,T Junction,Total Injured,798.0
Hyderabad,Junction,T Junction,Total number of Accidents,1082.0
Hyderabad,Junction,Y Junction,Persons Killed,6.0
Hyderabad,Junction,Y Junction,Greviously Injured,12.0
Hyderabad,Junction,Y Junction,Minor Injury,160.0
Hyderabad,Junction,Y Junction,Total Injured,462.0
Hyderabad,Junction,Y Junction,Total number of Accidents,1497.0
Hyderabad,Junction,Round about Junction,Persons Killed,37.0
Hyderabad,Junction,Round about Junction,Greviously Injured,236.0
Hyderabad,Junction,Round about Junction,Minor Injury,420.0
Hyderabad,Junction,Round about Junction,Total Injured,114.0
Hyderabad,Junction,Round about Junction,Total number of Accidents,1415.0
Hyderabad,Junction,Uncontrolled,Persons Killed,88.0
Hyderabad,Junction,Uncontrolled,Greviously Injured,128.0
Hyderabad,Junction,Uncontrolled,Minor Injury,77.0
Hyderabad,Junction,Uncontrolled,Total Injured,138.0
Hyderabad,Junction,Uncontrolled,Total number of Accidents,1496.0
Hyderabad,Road Features,Straight Road,Persons Killed,85.0
Hyderabad,Road Features,Straight Road,Greviously Injured,135.0
Hyderabad,Road Features,Straight Road,Minor Injury,349.0
Hyderabad,Road Features,Straight Road,Total Injured,636.0
Hyderabad,Road Features,Straight Road,Total number of Accidents,344.0
Hyderabad,Road Features,Curved Road,Persons Killed,12.0
Hyderabad,Road Features,Curved Road,Greviously Injured,221.0
Hyderabad,Road Features,Curved Road,Minor Injury,74.0
Hyderabad,Road Features,Curved Road,Total Injured,679.0
Hyderabad,Road Features,Curved Road,Total number of Accidents,266.0
Hyderabad,Road Features,Bridge,Persons Killed,17.0
Hyderabad,Road Features,Bridge,Greviously Injured,120.0
Hyderabad,Road Features,Bridge,Minor Injury,277.0
Hyderabad,Road Features,Bridge,Total Injured,210.0
Hyderabad,Road Features,Bridge,Total number of Accidents,233.0
Hyderabad,Road Features,Pot Holes,Persons Killed,7.0
Hyderabad,Road Features,Pot Holes,Greviously Injured,245.0
Hyderabad,Road Features,Pot Holes,Minor Injury,132.0
Hyderabad,Road Features,Pot Holes,Total Injured,653.0
Hyderabad,Road Features,Pot Holes,Total number of Accidents,624.0
Hyderabad,Road Features,Steep Grade,Persons Killed,5.0
Hyderabad,Road Features,Steep Grade,Greviously Injured,189.0
Hyderabad,Road Features,Steep Grade,Minor Injury,331.0
Hyderabad,Road Features,Steep Grade,Total Injured,419.0
Hyderabad,Road Features,Steep Grade,Total number of Accidents,514.0
Hyderabad,Impacting Vehicle/Object,Cars/Taxis/Vans,Persons Killed,69.0
Hyderabad,Impacting Vehicle/Object,Cars/Taxis/Vans,Greviously Injured,238.0
Hyderabad,Impacting Vehicle/Object,Cars/Taxis/Vans,Minor Injury,426.0
Hyderabad,Impacting Vehicle/Object,Cars/Taxis/Vans,Total Injured,388.0
Hyderabad,Impacting Vehicle/Object,Cars/Taxis/Vans,Total number of Accidents,861.0
Hyderabad,Impacting Vehicle/Object,Two Wheelers,Persons Killed,20.0
Hyderabad,Impacting Vehicle/Object,Two Wheelers,Greviously Injured,207.0
Hyderabad,Impacting Vehicle/Object,Two Wheelers,Minor Injury,119.0
Hyderabad,Impacting Vehicle/Object,Two Wheelers,Total Injured,602.0
Hyderabad,Impacting Vehicle/Object,Two Wheelers,Total number of Accidents,823.0
Hyderabad,Impacting Vehicle/Object,Trucks/Lorries,Persons Killed,3.0
Hyderabad,Impacting Vehicle/Object,Trucks/Lorries,Greviously Injured,104.0
Hyderabad,Impacting Vehicle/Object,Trucks/Lorries,Minor Injury,201.0
Hyderabad,Impacting Vehicle/Object,Trucks/Lorries,Total Injured,236.0
Hyderabad,Impacting Vehicle/Object,Trucks/Lorries,Total number of Accidents,958.0
Hyderabad,Impacting Vehicle/Object,Buses,Persons Killed,2.0
Hyderabad,Impacting Vehicle/Object,Buses,Greviously Injured,252.0
Hyderabad,Impacting Vehicle/Object,Buses,Minor Injury,80.0
Hyderabad,Impacting Vehicle/Object,Buses,Total Injured,139.0
Hyderabad,Impacting Vehicle/Object,Buses,Total number of Accidents,428.0
Hyderabad,Impacting Vehicle/Object,Pedestrian,Persons Killed,35.0
Hyderabad,Impacting Vehicle/Object,Pedestrian,Greviously Injured,232.0
Hyderabad,Impacting Vehicle/Object,Pedestrian,Minor Injury,55.0
Hyderabad,Impacting Vehicle/Object,Pedestrian,Total Injured,421.0
Hyderabad,Impacting Vehicle/Object,Pedestrian,Total number of Accidents,667.0
Hyderabad,Weather,Sunny/Clear,Persons Killed,91.0
Hyderabad,Weather,Sunny/Clear,Greviously Injured,84.0
Hyderabad,Weather,Sunny/Clear,Minor Injury,53.0
Hyderabad,Weather,Sunny/Clear,Total Injured,745.0
Hyderabad,Weather,Sunny/Clear,Total number of Accidents,317.0
Hyderabad,Weather,Rainy,Persons Killed,93.0
Hyderabad,Weather,Rainy,Greviously Injured,71.0
Hyderabad,Weather,Rainy,Minor Injury,490.0
Hyderabad,Weather,Rainy,Total Injured,293.0
Hyderabad,Weather,Rainy,Total number of Accidents,1046.0
Hyderabad,Weather,Foggy and Misty,Persons Killed,74.0
Hyderabad,Weather,Foggy and Misty,Greviously Injured,35.0
Hyderabad,Weather,Foggy and Misty,Minor Injury,484.0
Hyderabad,Weather,Foggy and Misty,Total Injured,272.0
Hyderabad,Weather,Foggy and Misty,Total number of Accidents,525.0
Hyderabad,Weather,Hail/Sleet,Persons Killed,25.0
Hyderabad,Weather,Hail/Sleet,Greviously Injured,127.0
Hyderabad,Weather,Hail/Sleet,Minor Injury,373.0
Hyderabad,Weather,Hail/Sleet,Total Injured,324.0
Hyderabad,Weather,Hail/Sleet,Total number of Accidents,731.0
Hyderabad,Traffic Violation,Drunken Driving,Persons Killed,11.0
Hyderabad,Traffic Violation,Drunken Driving,Greviously Injured,56.0
Hyderabad,Traffic Violation,Drunken Driving,Minor Injury,50.0
Hyderabad,Traffic Violation,Drunken Driving,Total Injured,189.0
Hyderabad,Traffic Violation,Drunken Driving,Total number of Accidents,853.0
Hyderabad,Traffic Violation,Over Speeding,Persons Killed,63.0
Hyderabad,Traffic Violation,Over Speeding,Greviously Injured,47.0
Hyderabad,Traffic Violation,Over Speeding,Minor Injury,342.0
Hyderabad,Traffic Violation,Over Speeding,Total Injured,238.0
Hyderabad,Traffic Violation,Over Speeding,Total number of Accidents,1044.0
Hyderabad,Traffic Violation,Jumping Red Light,Persons Killed,2.0
Hyderabad,Traffic Violation,Jumping Red Light,Greviously Injured,170.0
Hyderabad,Traffic Violation,Jumping Red Light,Minor Injury,439.0
Hyderabad,Traffic Violation,Jumping Red Light,Total Injured,789.0
Hyderabad,Traffic Violation,Jumping Red Light,Total number of Accidents,209.0
Hyderabad,Traffic Violation,Use of Mobile Phone,Persons Killed,4.0
Hyderabad,Traffic Violation,Use of Mobile Phone,Greviously Injured,147.0
Hyderabad,Traffic Violation,Use of Mobile Phone,Minor Injury,221.0
Hyderabad,Traffic Violation,Use of Mobile Phone,Total Injured,112.0
Hyderabad,Traffic Violation,Use of Mobile Phone,Total number of Accidents,1391.0
Hyderabad,Traffic Violation,Wrong Side Driving,Persons Killed,1.0
Hyderabad,Traffic Violation,Wrong Side Driving,Greviously Injured,93.0
Hyderabad,Traffic Violation,Wrong Side Driving,Minor Injury,370.0
Hyderabad,Traffic Violation,Wrong Side Driving,Total Injured,418.0
Hyderabad,Traffic Violation,Wrong Side Driving,Total number of Accidents,528.0
Pune,Traffic Control,Traffic Light Signal,Persons Killed,16.0
Pune,Traffic Control,Traffic Light Signal,Greviously Injured,274.0
Pune,Traffic Control,Traffic Light Signal,Minor Injury,448.0
Pune,Traffic Control,Traffic Light Signal,Total Injured,649.0
Pune,Traffic Control,Traffic Light Signal,Total number of Accidents,1318.0
Pune,Traffic Control,Stop Sign,Persons Killed,48.0
Pune,Traffic Control,Stop Sign,Greviously Injured,78.0
Pune,Traffic Control,Stop Sign,Minor Injury,367.0
Pune,Traffic Control,Stop Sign,Total Injured,335.0
Pune,Traffic Control,Stop Sign,Total number of Accidents,533.0
Pune,Traffic Control,Police Controlled,Persons Killed,74.0
Pune,Traffic Control,Police Controlled,Greviously Injured,146.0
Pune,Traffic Control,Police Controlled,Minor Injury,467.0
Pune,Traffic Control,Police Controlled,Total Injured,687.0
Pune,Traffic Control,Police Controlled,Total number of Accidents,712.0
Pune,Traffic Control,Flashing Signal/Blinker,Persons Killed,39.0
Pune,Traffic Control,Flashing Signal/Blinker,Greviously Injured,69.0
Pune,Traffic Control,Flashing Signal/Blinker,Minor Injury,369.0
Pune,Traffic Control,Flashing Signal/Blinker,Total Injured,448.0
Pune,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,1072.0
Pune,Junction,Four arm Junction,Persons Killed,13.0
Pune,Junction,Four arm Junction,Greviously Injured,295.0
Pune,Junction,Four arm Junction,Minor Injury,340.0
Pune,Junction,Four arm Junction,Total Injured,264.0
Pune,Junction,Four arm Junction,Total number of Accidents,204.0
Pune,Junction,T Junction,Persons Killed,82.0
Pune,Junction,T Junction,Greviously Injured,87.0
Pune,Junction,T Junction,Minor Injury,459.0
Pune,Junction,T Junction,Total Injured,673.0
Pune,Junction,T Junction,Total number of Accidents,331.0
Pune,Junction,Y Junction,Persons Killed,88.0
Pune,Junction,Y Junction,Greviously Injured,246.0
Pune,Junction,Y Junction,Minor Injury,91.0
Pune,Junction,Y Junction,Total Injured,188.0
Pune,Junction,Y Junction,Total number of Accidents,601.0
Pune,Junction,Round about Junction,Persons Killed,39.0
Pune,Junction,Round about Junction,Greviously Injured,113.0
Pune,Junction,Round about Junction,Minor Injury,63.0
Pune,Junction,Round about Junction,Total Injured,790.0
Pune,Junction,Round about Junction,Total number of Accidents,621.0
Pune,Junction,Uncontrolled,Persons Killed,96.0
Pune,Junction,Uncontrolled,Greviously Injured,32.0
Pune,Junction,Uncontrolled,Minor Injury,112.0
Pune,Junction,Uncontrolled,Total Injured,242.0
Pune,Junction,Uncontrolled,Total number of Accidents,1192.0
Pune,Road Features,Straight Road,Persons Killed,24.0
Pune,Road Features,Straight Road,Greviously Injured,154.0
Pune,Road Features,Straight Road,Minor Injury,274.0
Pune,Road Features,Straight Road,Total Injured,602.0
Pune,Road Features,Straight Road,Total number of Accidents,1020.0
Pune,Road Features,Curved Road,Persons Killed,50.0
Pune,Road Features,Curved Road,Greviously Injured,48.0
Pune,Road Features,Curved Road,Minor Injury,484.0
Pune,Road Features,Curved Road,Total Injured,297.0
Pune,Road Features,Curved Road,Total number of Accidents,778.0
Pune,Road Features,Bridge,Persons Killed,6.0
Pune,Road Features,Bridge,Greviously Injured,188.0
Pune,Road Features,Bridge,Minor Injury,91.0
Pune,Road Features,Bridge,Total Injured,547.0
Pune,Road Features,Bridge,Total number of Accidents,1238.0
Pune,Road Features,Pot Holes,Persons Killed,28.0
Pune,Road Features,Pot Holes,Greviously Injured,298.0
Pune,Road Features,Pot Holes,Minor Injury,280.0
Pune,Road Features,Pot Holes,Total Injured,519.0
Pune,Road Features,Pot Holes,Total number of Accidents,356.0
Pune,Road Features,Steep Grade,Persons Killed,37.0
Pune,Road Features,Steep Grade,Greviously Injured,106.0
Pune,Road Features,Steep Grade,Minor Injury,460.0
Pune,Road Features,Steep Grade,Total Injured,388.0
Pune,Road Features,Steep Grade,Total number of Accidents,1477.0
Pune,Impacting Vehicle/Object,Cars/Taxis/Vans,Persons Killed,67.0
Pune,Impacting Vehicle/Object,Cars/Taxis/Vans,Greviously Injured,95.0
Pune,Impacting Vehicle/Object,Cars/Taxis/Vans,Minor Injury,371.0
Pune,Impacting Vehicle/Object,Cars/Taxis/Vans,Total Injured,621.0
Pune,Impacting Vehicle/Object,Cars/Taxis/Vans,Total number of Accidents,716.0
Pune,Impacting Vehicle/Object,Two Wheelers,Persons Killed,73.0
Pune,Impacting Vehicle/Object,Two Wheelers,Greviously Injured,127.0
Pune,Impacting Vehicle/Object,Two Wheelers,Minor Injury,343.0
Pune,Impacting Vehicle/Object,Two Wheelers,Total Injured,258.0
Pune,Impacting Vehicle/Object,Two Wheelers,Total number of Accidents,1014.0
Pune,Impacting Vehicle/Object,Trucks/Lorries,Persons Killed,99.0
Pune,Impacting Vehicle/Object,Trucks/Lorries,Greviously Injured,225.0
Pune,Impacting Vehicle/Object,Trucks/Lorries,Minor Injury,485.0
Pune,Impacting Vehicle/Object,Trucks/Lorries,Total Injured,795.0
Pune,Impacting Vehicle/Object,Trucks/Lorries,Total number of Accidents,214.0
Pune,Impacting Vehicle/Object,Buses,Persons Killed,28.0
Pune,Impacting Vehicle/Object,Buses,Greviously Injured,145.0
Pune,Impacting Vehicle/Object,Buses,Minor Injury,310.0
Pune,Impacting Vehicle/Object,Buses,Total Injured,256.0
Pune,Impacting Vehicle/Object,Buses,Total number of Accidents,246.0
Pune,Impacting Vehicle/Object,Pedestrian,Persons Killed,67.0
Pune,Impacting Vehicle/Object,Pedestrian,Greviously Injured,182.0
Pune,Impacting Vehicle/Object,Pedestrian,Minor Injury,179.0
Pune,Impacting Vehicle/Object,Pedestrian,Total Injured,510.0
Pune,Impacting Vehicle/Object,Pedestrian,Total number of Accidents,294.0
Pune,Weather,Sunny/Clear,Persons Killed,35.0
Pune,Weather,Sunny/Clear,Greviously Injured,291.0
Pune,Weather,Sunny/Clear,Minor Injury,348.0
Pune,Weather,Sunny/Clear,Total Injured,382.0
Pune,Weather,Sunny/Clear,Total number of Accidents,268.0
Pune,Weather,Rainy,Persons Killed,19.0
Pune,Weather,Rainy,Greviously Injured,20.0
Pune,Weather,Rainy,Minor Injury,303.0
Pune,Weather,Rainy,Total Injured,649.0
Pune,Weather,Rainy,Total number of Accidents,1357.0
Pune,Weather,Foggy and Misty,Persons Killed,71.0
Pune,Weather,Foggy and Misty,Greviously Injured,32.0
Pune,Weather,Foggy and Misty,Minor Injury,352.0
Pune,Weather,Foggy and Misty,Total Injured,445.0
Pune,Weather,Foggy and Misty,Total number of Accidents,501.0
Pune,Weather,Hail/Sleet,Persons Killed,11.0
Pune,Weather,Hail/Sleet,Greviously Injured,227.0
Pune,Weather,Hail/Sleet,Minor Injury,190.0
Pune,Weather,Hail/Sleet,Total Injured,715.0
Pune,Weather,Hail/Sleet,Total number of Accidents,1157.0
Pune,Traffic Violation,Drunken Driving,Persons Killed,81.0
Pune,Traffic Violation,Drunken Driving,Greviously Injured,120.0
Pune,Traffic Violation,Drunken Driving,Minor Injury,153.0
Pune,Traffic Violation,Drunken Driving,Total Injured,782.0
Pune,Traffic Violation,Drunken Driving,Total number of Accidents,1203.0
Pune,Traffic Violation,Over Speeding,Persons Killed,99.0
Pune,Traffic Violation,Over Speeding,Greviously Injured,142.0
Pune,Traffic Violation,Over Speeding,Minor Injury,425.0
Pune,Traffic Violation,Over Speeding,Total Injured,226.0
Pune,Traffic Violation,Over Speeding,Total number of Accidents,1329.0
Pune,Traffic Violation,Jumping Red Light,Persons Killed,91.0
Pune,Traffic Violation,Jumping Red Light,Greviously Injured,296.0
Pune,Traffic Violation,Jumping Red Light,Minor Injury,427.0
Pune,Traffic Violation,Jumping Red Light,Total Injured,150.0
Pune,Traffic Violation,Jumping Red Light,Total number of Accidents,1252.0
Pune,Traffic Violation,Use of Mobile Phone,Persons Killed,77.0
Pune,Traffic Violation,Use of Mobile Phone,Greviously Injured,223.0
Pune,Traffic Violation,Use of Mobile Phone,Minor Injury,316.0
Pune,Traffic Violation,Use of Mobile Phone,Total Injured,506.0
Pune,Traffic Violation,Use of Mobile Phone,Total number of Accidents,1013.0
Pune,Traffic Violation,Wrong Side Driving,Persons Killed,20.0
Pune,Traffic Violation,Wrong Side Driving,Greviously Injured,119.0
Pune,Traffic Violation,Wrong Side Driving,Minor Injury,469.0
Pune,Traffic Violation,Wrong Side Driving,Total Injured,281.0
Pune,Traffic Violation,Wrong Side Driving,Total number of Accidents,1182.0
Ahmedabad,Traffic Control,Traffic Light Signal,Persons Killed,56.0
Ahmedabad,Traffic Control,Traffic Light Signal,Greviously Injured,10.0
Ahmedabad,Traffic Control,Traffic Light Signal,Minor Injury,368.0
Ahmedabad,Traffic Control,Traffic Light Signal,Total Injured,666.0
Ahmedabad,Traffic Control,Traffic Light Signal,Total number of Accidents,570.0
Ahmedabad,Traffic Control,Stop Sign,Persons Killed,39.0
Ahmedabad,Traffic Control,Stop Sign,Greviously Injured,158.0
Ahmedabad,Traffic Control,Stop Sign,Minor Injury,480.0
Ahmedabad,Traffic Control,Stop Sign,Total Injured,408.0
Ahmedabad,Traffic Control,Stop Sign,Total number of Accidents,1360.0
Ahmedabad,Traffic Control,Police Controlled,Persons Killed,73.0
Ahmedabad,Traffic Control,Police Controlled,Greviously Injured,126.0
Ahmedabad,Traffic Control,Police Controlled,Minor Injury,203.0
Ahmedabad,Traffic Control,Police Controlled,Total Injured,674.0
Ahmedabad,Traffic Control,Police Controlled,Total number of Accidents,443.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Persons Killed,24.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,99.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Minor Injury,124.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Total Injured,485.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,1433.0
Ahmedabad,Junction,Four arm Junction,Persons Killed,90.0
Ahmedabad,Junction,Four arm Junction,Greviously Injured,26.0
Ahmedabad,Junction,Four arm Junction,Minor Injury,177.0
Ahmedabad,Junction,Four arm Junction,Total Injured,278.0
Ahmedabad,Junction,Four arm Junction,Total number of Accidents,1405.0
Ahmedabad,Junction,T Junction,Persons Killed,23.0
Ahmedabad,Junction,T Junction,Greviously Injured,34.0
Ahmedabad,Junction,T Junction,Minor Injury,229.0
Ahmedabad,Junction,T Junction,Total Injured,600.0
Ahmedabad,Junction,T Junction,Total number of Accidents,1384.0
Ahmedabad,Junction,Y Junction,Persons Killed,48.0
Ahmedabad,Junction,Y Junction,Greviously Injured,294.0
Ahmedabad,Junction,Y Junction,Minor Injury,112.0
Ahmedabad,Junction,Y Junction,Total Injured,761.0
Ahmedabad,Junction,Y Junction,Total number of Accidents,865.0
Ahmedabad,Junction,Round about Junction,Persons Killed,27.0
Ahmedabad,Junction,Round about Junction,Greviously Injured,58.0
Ahmedabad,Junction,Round about Junction,Minor Injury,386.0
Ahmedabad,Junction,Round about Junction,Total Injured,183.0
Ahmedabad,Junction,Round about Junction,Total number of Accidents,888.0
Ahmedabad,Junction,Uncontrolled,Persons Killed,19.0
Ahmedabad,Junction,Uncontrolled,Greviously Injured,127.0
Ahmedabad,Junction,Uncontrolled,Minor Injury,391.0
Ahmedabad,Junction,Uncontrolled,Total Injured,575.0
Ahmedabad,Junction,Uncontrolled,Total number of Accidents,1286.0
Ahmedabad,Road Features,Straight Road,Persons Killed,60.0
Ahmedabad,Road Features,Straight Road,Greviously Injured,58.0
Ahmedabad,Road Features,Straight Road,Minor Injury,376.0
Ahmedabad,Road Features,Straight Road,Total Injured,240.0
Ahmedabad,Road Features,Straight Road,Total number of Accidents,1189.0
Ahmedabad,Road Features,Curved Road,Persons Killed,86.0
Ahmedabad,Road Features,Curved Road,Greviously Injured,220.0
Ahmedabad,Road Features,Curved Road,Minor Injury,367.0
Ahmedabad,Road Features,Curved Road,Total Injured,131.0
Ahmedabad,Road Features,Curved Road,Total number of Accidents,869.0
Ahmedabad,Road Features,Bridge,Persons Killed,28.0
Ahmedabad,Road Features,Bridge,Greviously Injured,295.0
Ahmedabad,Road Features,Bridge,Minor Injury,193.0
Ahmedabad,Road Features,Bridge,Total Injured,523.0
Ahmedabad,Road Features,Bridge,Total number of Accidents,1242.0
Ahmedabad,Road Features,Pot Holes,Persons Killed,17.0
Ahmedabad,Road Features,Pot Holes,Greviously Injured,266.0
Ahmedabad,Road Features,Pot Holes,Minor Injury,127.0
Ahmedabad,Road Features,Pot Holes,Total Injured,470.0
Ahmedabad,Road Features,Pot Holes,Total number of Accidents,1398.0
Ahmedabad,Road Features,Steep Grade,Persons Killed,65.0
Ahmedabad,Road Features,Steep Grade,Greviously Injured,122.0
Ahmedabad,Road Features,Steep Grade,Minor Injury,163.0
Ahmedabad,Road Features,Steep Grade,Total Injured,321.0
Ahmedabad,Road Features,Steep Grade,Total number of Accidents,1146.0
Ahmedabad,Impacting Vehicle/Object,Cars/Taxis/Vans,Persons Killed,62.0
Ahmedabad,Impacting Vehicle/Object,Cars/Taxis/Vans,Greviously Injured,141.0
Ahmedabad,Impacting Vehicle/Object,Cars/Taxis/Vans,Minor Injury,434.0
Ahmedabad,Impacting Vehicle/Object,Cars/Taxis/Vans,Total Injured,363.0
Ahmedabad,Impacting Vehicle/Object,Cars/Taxis/Vans,Total number of Accidents,1124.0
Ahmedabad,Impacting Vehicle/Object,Two Wheelers,Persons Killed,54.0
Ahmedabad,Impacting Vehicle/Object,Two Wheelers,Greviously Injured,140.0
Ahmedabad,Impacting Vehicle/Object,Two Wheelers,Minor Injury,337.0
Ahmedabad,Impacting Vehicle/Object,Two Wheelers,Total Injured,557.0
Ahmedabad,Impacting Vehicle/Object,Two Wheelers,Total number of Accidents,361.0
Ahmedabad,Impacting Vehicle/Object,Trucks/Lorries,Persons Killed,96.0
Ahmedabad,Impacting Vehicle/Object,Trucks/Lorries,Greviously Injured,96.0
Ahmedabad,Impacting Vehicle/Object,Trucks/Lorries,Minor Injury,104.0
Ahmedabad,Impacting Vehicle/Object,Trucks/Lorries,Total Injured,575.0
Ahmedabad,Impacting Vehicle/Object,Trucks/Lorries,Total number of Accidents,1401.0
Ahmedabad,Impacting Vehicle/Object,Buses,Persons Killed,6.0
Ahmedabad,Impacting Vehicle/Object,Buses,Greviously Injured,17.0
Ahmedabad,Impacting Vehicle/Object,Buses,Minor Injury,370.0
Ahmedabad,Impacting Vehicle/Object,Buses,Total Injured,412.0
Ahmedabad,Impacting Vehicle/Object,Buses,Total number of Accidents,958.0
Ahmedabad,Impacting Vehicle/Object,Pedestrian,Persons Killed,66.0
Ahmedabad,Impacting Vehicle/Object,Pedestrian,Greviously Injured,264.0
Ahmedabad,Impacting Vehicle/Object,Pedestrian,Minor Injury,377.0
Ahmedabad,Impacting Vehicle/Object,Pedestrian,Total Injured,153.0
Ahmedabad,Impacting Vehicle/Object,Pedestrian,Total number of Accidents,960.0
Ahmedabad,Weather,Sunny/Clear,Persons Killed,66.0
Ahmedabad,Weather,Sunny/Clear,Greviously Injured,60.0
Ahmedabad,Weather,Sunny/Clear,Minor Injury,146.0
Ahmedabad,Weather,Sunny/Clear,Total Injured,703.0
Ahmedabad,Weather,Sunny/Clear,Total number of Accidents,1206.0
Ahmedabad,Weather,Rainy,Persons Killed,7.0
Ahmedabad,Weather,Rainy,Greviously Injured,105.0
Ahmedabad,Weather,Rainy,Minor Injury,137.0
Ahmedabad,Weather,Rainy,Total Injured,177.0
Ahmedabad,Weather,Rainy,Total number of Accidents,1343.0
Ahmedabad,Weather,Foggy and Misty,Persons Killed,45.0
Ahmedabad,Weather,Foggy and Misty,Greviously Injured,174.0
Ahmedabad,Weather,Foggy and Misty,Minor Injury,231.0
Ahmedabad,Weather,Foggy and Misty,Total Injured,568.0
Ahmedabad,Weather,Foggy and Misty,Total number of Accidents,1109.0
Ahmedabad,Weather,Hail/Sleet,Persons Killed,94.0
Ahmedabad,Weather,Hail/Sleet,Greviously Injured,16.0
Ahmedabad,Weather,Hail/Sleet,Minor Injury,379.0
Ahmedabad,Weather,Hail/Sleet,Total Injured,772.0
Ahmedabad,Weather,Hail/Sleet,Total number of Accidents,350.0
Ahmedabad,Traffic Violation,Drunken Driving,Persons Killed,84.0
Ahmedabad,Traffic Violation,Drunken Driving,Greviously Injured,156.0
Ahmedabad,Traffic Violation,Drunken Driving,Minor Injury,161.0
Ahmedabad,Traffic Violation,Drunken Driving,Total Injured,480.0
Ahmedabad,Traffic Violation,Drunken Driving,Total number of Accidents,1114.0
Ahmedabad,Traffic Violation,Over Speeding,Persons Killed,35.0
Ahmedabad,Traffic Violation,Over Speeding,Greviously Injured,294.0
Ahmedabad,Traffic Violation,Over Speeding,Minor Injury,237.0
Ahmedabad,Traffic Violation,Over Speeding,Total Injured,181.0
Ahmedabad,Traffic Violation,Over Speeding,Total number of Accidents,713.0
Ahmedabad,Traffic Violation,Jumping Red Light,Persons Killed,0.0
Ahmedabad,Traffic Violation,Jumping Red Light,Greviously Injured,206.0
Ahmedabad,Traffic Violation,Jumping Red Light,Minor Injury,453.0
Ahmedabad,Traffic Violation,Jumping Red Light,Total Injured,622.0
Ahmedabad,Traffic Violation,Jumping Red Light,Total number of Accidents,945.0
Ahmedabad,Traffic Violation,Use of Mobile Phone,Persons Killed,1.0
Ahmedabad,Traffic Violation,Use of Mobile Phone,Greviously Injured,204.0
Ahmedabad,Traffic Violation,Use of Mobile Phone,Minor Injury,168.0
Ahmedabad,Traffic Violation,Use of Mobile Phone,Total Injured,495.0
Ahmedabad,Traffic Violation,Use of Mobile Phone,Total number of Accidents,460.0
Ahmedabad,Traffic Violation,Wrong Side Driving,Persons Killed,36.0
Ahmedabad,Traffic Violation,Wrong Side Driving,Greviously Injured,265.0
Ahmedabad,Traffic Violation,Wrong Side Driving,Minor Injury,271.0
Ahmedabad,Traffic Violation,Wrong Side Driving,Total Injured,325.0
Ahmedabad,Traffic Violation,Wrong Side Driving,Total number of Accidents,1276.0
Jaipur,Traffic Control,Traffic Light Signal,Persons Killed,43.0
Jaipur,Traffic Control,Traffic Light Signal,Greviously Injured,289.0
Jaipur,Traffic Control,Traffic Light Signal,Minor Injury,130.0
Jaipur,Traffic Control,Traffic Light Signal,Total Injured,257.0
Jaipur,Traffic Control,Traffic Light Signal,Total number of Accidents,831.0
Jaipur,Traffic Control,Stop Sign,Persons Killed,58.0
Jaipur,Traffic Control,Stop Sign,Greviously Injured,224.0
Jaipur,Traffic Control,Stop Sign,Minor Injury,177.0
Jaipur,Traffic Control,Stop Sign,Total Injured,214.0
Jaipur,Traffic Control,Stop Sign,Total number of Accidents,1432.0
Jaipur,Traffic Control,Police Controlled,Persons Killed,13.0
Jaipur,Traffic Control,Police Controlled,Greviously Injured,18.0
Jaipur,Traffic Control,Police Controlled,Minor Injury,89.0
Jaipur,Traffic Control,Police Controlled,Total Injured,336.0
Jaipur,Traffic Control,Police Controlled,Total number of Accidents,1424.0
Jaipur,Traffic Control,Flashing Signal/Blinker,Persons Killed,21.0
Jaipur,Traffic Control,Flashing Signal/Blinker,Greviously Injured,244.0
Jaipur,Traffic Control,Flashing Signal/Blinker,Minor Injury,53.0
Jaipur,Traffic Control,Flashing Signal/Blinker,Total Injured,765.0
Jaipur,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,641.0
Jaipur,Junction,Four arm Junction,Persons Killed,28.0
Jaipur,Junction,Four arm Junction,Greviously Injured,118.0
Jaipur,Junction,Four arm Junction,Minor Injury,147.0
Jaipur,Junction,Four arm Junction,Total Injured,174.0
Jaipur,Junction,Four arm Junction,Total number of Accidents,1037.0
Jaipur,Junction,T Junction,Persons Killed,17.0
Jaipur,Junction,T Junction,Greviously Injured,137.0
Jaipur,Junction,T Junction,Minor Injury,390.0
Jaipur,Junction,T Junction,Total Injured,141.0
Jaipur,Junction,T Junction,Total number of Accidents,240.0
Jaipur,Junction,Y Junction,Persons Killed,37.0
Jaipur,Junction,Y Junction,Greviously Injured,43.0
Jaipur,Junction,Y Junction,Minor Injury,66.0
Jaipur,Junction,Y Junction,Total Injured,776.0
Jaipur,Junction,Y Junction,Total number of Accidents,1376.0
Jaipur,Junction,Round about Junction,Persons Killed,75.0
